time;Engine speed: ---;Short term adaptation of mixture formation bank 1: ---;Misfire sum counter: ---;Long term adaptation of mixture formation bank 1: ---;Fuel Pressure: ---;Absolute intake pressure: ---;Target position of EVAP canister valve: ---;Charge press. ctrl.: Charge air pressure 1, specified value;Ignition timing adjustment cylinder 1: ---;Air mass, actual value (mg/stroke): ---;Timing angle retardation cylinder 1: ---;Timing angle retardation cylinder 2: ---;Timing angle retardation cylinder 3: ---;Timing angle retardation cylinder 4: ---;Wear index: ---
0;798.0;-7.8;0.0;-12.5;5390.0;27.0;0.0;78.81;6.5;120.37;0.0;0.0;0.0;0.0;1.8E-7
987;797.0;-7.8;0.0;-12.5;5400.0;27.0;0.0;78.78;5.0;120.41;0.0;0.0;0.0;0.0;1.8E-7
1919;799.0;-7.8;0.0;-12.5;5410.0;27.0;0.0;78.78;5.5;120.11;0.0;0.0;0.0;0.0;1.8E-7
2849;798.0;-7.8;0.0;-12.5;5400.0;27.0;0.0;78.78;5.0;120.3;0.0;0.0;0.0;0.0;1.8E-7
3809;799.0;-7.8;0.0;-12.5;5400.0;27.0;0.0;78.78;8.0;126.74;0.0;0.0;0.0;0.0;1.8E-7
4768;814.0;-8.6;0.0;-11.7;5580.0;29.0;0.0;78.78;11.0;156.01;0.0;0.0;0.0;0.0;1.8E-7
5700;839.0;-5.5;0.0;-1.6;7550.0;69.0;3.5;82.75;1.5;327.67;0.0;0.0;0.0;0.0;2.6E-7
6690;1128.0;-2.3;0.0;0.8;10700.0;74.0;3.5;83.66;10.0;327.67;0.0;0.0;0.0;0.0;2.6E-7
7622;1353.0;-1.6;0.0;0.8;14960.0;82.0;0.0;90.63;12.5;327.67;0.0;0.0;0.0;0.0;1.2E-6
8552;1895.0;-0.8;0.0;0.8;19310.0;90.0;0.0;97.44;-11.0;327.67;0.0;0.0;0.0;0.0;1.2E-6
9508;1779.0;0.0;0.0;0.8;20100.0;105.0;0.0;106.25;10.0;327.67;0.0;0.0;0.0;0.0;1.2E-6
10439;2240.0;-0.8;0.0;0.8;19600.0;103.0;0.0;114.28;-8.5;327.67;0.0;0.0;0.0;0.0;2.46E-6
11401;1767.0;0.8;0.0;0.8;20820.0;116.0;0.0;119.19;5.5;327.67;0.0;0.0;0.0;0.0;2.46E-6
12332;2127.0;-0.8;0.0;0.8;23000.0;143.0;0.0;113.28;9.5;327.67;0.0;0.0;0.0;0.0;6.82E-6
13322;2418.0;-0.8;0.0;0.8;20220.0;108.0;0.0;119.81;-9.5;327.67;0.0;0.0;0.0;0.0;6.82E-6
14253;1876.0;-1.6;0.0;0.8;21970.0;131.0;0.0;136.5;2.0;327.67;0.0;0.0;0.0;0.0;6.82E-6
15241;2008.0;-0.8;0.0;0.8;20930.0;89.0;0.0;92.66;13.5;327.67;0.0;0.0;0.0;0.0;3.4E-6
16174;2112.0;-2.3;0.0;0.8;19180.0;88.0;5.1;97.88;11.5;327.67;0.0;0.0;0.0;0.0;3.4E-6
17130;2077.0;-0.8;0.0;0.8;20240.0;104.0;16.9;116.63;2.5;327.67;0.0;0.0;0.0;0.0;2.54E-6
18090;1594.0;0.0;0.0;0.8;21660.0;130.0;20.0;137.94;1.5;327.67;0.0;0.0;0.0;0.0;2.54E-6
19081;1672.0;0.0;0.0;0.8;22560.0;137.0;22.0;136.38;1.5;327.67;0.0;0.0;0.0;0.0;2.54E-6
20010;1742.0;1.6;0.0;0.8;22310.0;135.0;22.4;131.72;2.0;327.67;0.0;0.0;0.0;0.0;3.42E-6
20972;1808.0;0.0;0.0;0.8;20320.0;100.0;21.6;103.63;8.5;327.67;0.0;0.0;0.0;0.0;3.42E-6
21903;1883.0;-7.8;0.0;0.8;17270.0;23.0;0.0;78.78;7.0;79.95;0.0;0.0;0.0;0.0;1.74E-6
22831;1770.0;0.0;0.0;0.8;15020.0;21.0;0.0;78.78;33.0;76.15;0.0;0.0;0.0;0.0;1.74E-6
23791;1620.0;0.0;0.0;-1.6;15090.0;21.0;0.0;78.78;33.0;76.11;0.0;0.0;0.0;0.0;1.74E-6
24750;1482.0;0.0;0.0;-3.9;15110.0;22.0;0.0;78.78;31.5;105.08;0.0;0.0;0.0;0.0;2.0E-8
25681;1500.0;0.0;0.0;0.8;13000.0;63.0;0.0;92.0;-4.5;327.67;0.0;0.0;0.0;0.0;2.0E-8
26610;1491.0;1.6;0.0;0.8;17650.0;106.0;17.3;139.19;1.0;327.67;0.0;0.0;0.0;0.0;2.0E-8
27545;1559.0;0.0;0.0;0.8;22280.0;132.0;19.6;141.06;1.5;327.67;0.0;0.0;0.0;0.0;1.72E-6
28499;1632.0;0.8;0.0;0.8;22930.0;139.0;21.2;136.09;2.0;327.67;0.0;0.0;0.0;0.0;1.72E-6
29430;1716.0;0.8;0.0;0.8;22870.0;141.0;22.0;149.88;0.5;327.67;0.0;0.0;0.0;0.0;3.6E-6
30359;1799.0;0.0;0.0;0.8;22930.0;159.0;23.1;179.31;-2.5;327.67;0.0;0.0;0.0;0.0;3.6E-6
31288;1910.0;0.0;0.0;0.8;22930.0;182.0;23.1;179.28;-2.5;327.67;0.0;0.0;0.0;0.0;3.6E-6
32220;2003.0;0.0;0.0;0.8;22940.0;173.0;23.1;159.63;-1.0;327.67;0.0;0.0;0.0;0.0;5.16E-6
33182;2099.0;0.0;0.0;0.8;22870.0;144.0;23.5;148.0;4.0;327.67;0.0;0.0;0.0;0.0;5.16E-6
34112;2187.0;0.0;0.0;0.8;22640.0;139.0;23.5;130.03;5.0;327.67;0.0;0.0;0.0;0.0;4.84E-6
35041;2267.0;0.0;0.0;0.8;21110.0;105.0;23.1;108.88;10.0;327.67;0.0;0.0;0.0;0.0;4.84E-6
35972;2012.0;-3.1;0.0;0.8;18960.0;78.0;3.5;78.78;15.0;235.92;0.0;0.0;0.0;0.0;4.84E-6
36900;1548.0;-7.8;0.0;-2.3;15850.0;20.0;0.0;78.78;-14.5;73.78;0.0;0.0;0.0;0.0;2.28E-6
37831;1488.0;0.0;0.0;-3.1;15670.0;21.0;0.0;78.78;32.5;75.31;0.0;0.0;0.0;0.0;2.28E-6
38760;1407.0;0.0;0.0;-4.7;15760.0;22.0;0.0;78.78;32.0;76.43;0.0;0.0;0.0;0.0;2.0E-8
39689;1349.0;0.0;0.0;-4.7;15420.0;23.0;0.0;78.78;7.0;85.48;0.0;0.0;0.0;0.0;2.0E-8
40621;1347.0;0.0;0.0;-6.3;13730.0;20.0;0.0;78.78;33.5;77.21;0.0;0.0;0.0;0.0;2.0E-8
41551;1313.0;0.0;0.0;-5.5;13830.0;22.0;0.0;78.78;33.5;75.64;0.0;0.0;0.0;0.0;1.0E-7
42510;1198.0;0.0;0.0;-8.6;13890.0;23.0;0.0;78.78;32.0;73.19;0.0;0.0;0.0;0.0;1.0E-7
43444;1102.0;0.0;0.0;-9.4;13940.0;23.0;0.0;78.78;33.5;77.98;0.0;0.0;0.0;0.0;1.0E-7
44370;1400.0;0.0;0.0;-3.1;13970.0;22.0;0.0;78.78;33.5;76.85;0.0;0.0;0.0;0.0;0.0
45301;1511.0;0.0;0.0;-3.1;14000.0;22.0;0.0;78.75;32.5;76.64;0.0;0.0;0.0;0.0;0.0
46235;1424.0;0.0;0.0;-3.9;14010.0;22.0;0.0;78.78;32.5;76.43;0.0;0.0;0.0;0.0;0.0
47190;1335.0;0.0;0.0;-5.5;14030.0;22.0;0.0;78.75;31.0;80.1;0.0;0.0;0.0;0.0;0.0
48128;1277.0;0.0;0.0;-6.3;14040.0;22.0;0.0;78.69;33.0;76.85;0.0;0.0;0.0;0.0;0.0
49051;1225.0;0.0;0.0;-7.8;14050.0;22.0;0.0;78.72;31.5;77.91;0.0;0.0;0.0;0.0;0.0
49979;1142.0;0.0;0.0;-8.6;14060.0;22.0;0.0;78.69;32.0;77.7;0.0;0.0;0.0;0.0;0.0
50913;1094.0;0.0;0.0;-9.4;14060.0;23.0;0.0;78.72;31.5;78.78;0.0;0.0;0.0;0.0;0.0
51871;1069.0;0.0;0.0;-2.3;13330.0;37.0;0.0;78.72;-10.0;242.74;0.0;0.0;0.0;0.0;0.0
52797;1530.0;0.0;0.0;0.8;14940.0;99.0;0.0;158.53;5.0;327.67;0.0;0.0;0.0;0.0;0.0
53763;1771.0;3.1;0.0;0.8;20500.0;138.0;24.3;188.13;2.0;327.67;0.0;0.0;0.0;0.0;1.68E-6
54689;2737.0;3.1;0.0;0.8;23010.0;163.0;24.7;182.53;-1.5;327.67;0.0;0.0;0.0;0.0;1.68E-6
55649;2205.0;2.3;0.0;0.8;22980.0;206.0;22.4;213.66;-3.5;327.67;0.0;0.0;0.0;0.0;7.04E-6
56580;2480.0;3.1;0.0;0.8;22940.0;221.0;18.4;221.06;-5.5;327.67;0.0;0.0;0.0;0.0;7.04E-6
57511;2746.0;3.1;0.0;0.8;22970.0;220.0;16.1;221.66;-4.0;327.67;0.0;0.0;0.0;0.0;7.04E-6
58441;3022.0;3.9;0.0;0.8;23040.0;219.0;15.3;186.03;0.5;327.67;0.0;0.0;0.0;0.0;1.022E-5
59371;3250.0;2.3;0.0;0.8;22880.0;158.0;22.7;157.72;-12.0;327.67;0.0;0.0;0.0;0.0;1.022E-5
60302;2387.0;0.8;0.0;0.8;22890.0;142.0;23.9;121.34;6.5;327.67;0.0;0.0;0.0;0.0;7.28E-6
61231;1857.0;-2.3;0.0;0.8;22980.0;165.0;20.8;186.84;-3.5;327.67;0.0;0.0;0.0;0.0;7.28E-6
62160;1739.0;0.0;0.0;0.8;22920.0;178.0;22.4;161.5;-6.0;327.67;0.0;0.0;0.0;0.0;7.28E-6
63092;1769.0;0.8;0.0;0.8;22190.0;94.0;8.2;89.78;13.0;327.67;0.0;0.0;0.0;0.0;4.44E-6
64020;1789.0;-3.9;0.0;0.8;18930.0;87.0;3.5;89.97;14.5;327.67;0.0;0.0;0.0;0.0;4.44E-6
64950;1784.0;-1.6;0.0;0.8;18490.0;72.0;0.0;78.75;16.0;262.24;0.0;0.0;0.0;0.0;4.44E-6
65881;1792.0;-7.8;0.0;0.8;15000.0;63.0;0.0;78.75;23.0;170.47;0.0;0.0;0.0;0.0;1.58E-6
66812;1735.0;-10.2;0.0;0.0;11660.0;20.0;4.7;78.75;26.5;92.2;0.0;0.0;0.0;0.0;1.58E-6
67771;1779.0;-18.0;0.0;0.8;11430.0;69.0;0.0;84.69;13.5;327.67;0.0;0.0;0.0;0.0;7.0E-7
68700;1716.0;-6.3;0.0;0.8;14200.0;65.0;0.0;78.75;15.5;311.31;0.0;0.0;0.0;0.0;7.0E-7
69634;1757.0;-2.3;0.0;0.8;19470.0;94.0;0.0;94.91;10.5;327.67;0.0;0.0;0.0;0.0;7.0E-7
70587;1747.0;-0.8;0.0;0.8;19960.0;103.0;0.0;123.69;4.5;327.67;0.0;0.0;0.0;0.0;1.68E-6
71523;1774.0;0.8;0.0;0.8;22500.0;138.0;23.5;158.34;1.0;327.67;0.0;0.0;0.0;0.0;1.68E-6
72449;1809.0;0.0;0.0;0.8;23040.0;169.0;0.0;202.25;-3.0;327.67;0.0;0.0;0.0;0.0;3.96E-6
73381;1850.0;0.0;0.0;0.8;22980.0;203.0;5.1;206.22;-4.5;327.67;0.0;0.0;0.0;0.0;3.96E-6
74311;1888.0;0.0;0.0;0.8;23000.0;203.0;23.1;189.53;-3.0;327.67;0.0;0.0;0.0;0.0;3.96E-6
75241;1923.0;0.0;0.0;0.8;22930.0;183.0;23.1;173.44;-2.5;327.67;0.0;0.0;0.0;0.0;6.06E-6
76170;1952.0;0.0;0.0;0.8;22910.0;156.0;23.1;163.75;-1.0;327.67;0.0;0.0;0.0;0.0;6.06E-6
77099;1988.0;0.0;0.0;0.8;22880.0;154.0;23.1;148.66;1.0;327.67;0.0;0.0;0.0;0.0;5.0E-6
78061;2010.0;0.0;0.0;0.8;21770.0;108.0;0.0;109.06;9.0;327.67;0.0;0.0;0.0;0.0;5.0E-6
78991;2026.0;-3.9;0.0;0.8;20100.0;106.0;0.0;108.34;9.0;327.67;0.0;0.0;0.0;0.0;5.0E-6
79920;2017.0;-6.3;0.0;0.8;17540.0;65.0;0.0;78.69;19.0;252.83;0.0;0.0;0.0;0.0;2.6E-6
