time;Short term adaptation of mixture formation bank 1: ---;Long term adaptation of mixture formation bank 1: ---;Engine speed: ---;Ignition timing adjustment cylinder 1: ---;Intake air temperature: ---;Absolute intake pressure: ---;Fuel Pressure: ---;Absolute load value: ---;Misfire sum counter: ---;Low fuel pressure, specified value: ---;Mixture adaptation factor at partial load: ---;Engine torque: ---;Air mass, specified value: ---
0;3.9;-14.1;817.0;-1.0;18.0;30.0;5920.0;25.5;0.0;5.73;-0.31;19.2;14.0
811;3.9;-14.1;805.0;0.5;18.0;31.0;5950.0;25.5;0.0;5.73;-0.31;19.1;14.0
1593;3.9;-13.3;803.0;-1.0;18.0;31.0;5970.0;25.5;0.0;5.73;-0.31;18.8;14.0
2401;3.9;-14.1;820.0;-3.5;18.0;30.0;5910.0;25.5;0.0;5.73;-0.31;18.2;14.0
3211;3.9;-14.1;812.0;-2.5;18.0;31.0;5920.0;25.5;0.0;5.73;-0.31;17.2;14.0
4052;3.1;-14.1;808.0;-1.5;18.0;30.0;5930.0;25.5;0.0;5.73;-0.31;17.6;15.0
4831;3.9;-14.1;819.0;-5.5;18.0;32.0;6070.0;26.7;0.0;5.73;-0.31;22.9;16.0
5670;3.1;-11.7;790.0;-2.5;18.0;37.0;6720.0;32.2;0.0;5.73;-0.31;38.5;22.0
6480;3.1;-8.6;842.0;-10.0;18.0;43.0;8860.0;35.3;0.0;5.73;-0.31;29.2;18.0
7258;2.3;-10.2;814.0;-7.0;18.0;38.0;7520.0;32.9;0.0;5.73;-0.31;30.5;18.0
8040;2.3;-10.9;865.0;-5.5;18.0;36.0;7080.0;30.2;0.0;5.73;-0.31;24.2;17.0
8942;2.3;-11.7;875.0;-3.5;18.0;33.0;6450.0;27.8;0.0;5.73;-0.31;21.8;16.0
9721;3.1;-12.5;862.0;-2.0;18.0;32.0;6220.0;26.7;0.0;5.73;-0.31;20.1;15.0
10531;3.9;-13.3;843.0;1.5;18.0;32.0;6160.0;26.7;0.0;5.73;-0.31;24.9;17.0
11312;3.9;-12.5;887.0;1.0;18.0;34.0;6570.0;28.6;0.0;5.73;-0.31;27.1;19.0
12125;3.1;-11.7;923.0;2.5;18.0;35.0;7110.0;30.6;0.0;5.73;-0.34;28.0;20.0
12932;3.1;-10.2;942.0;-6.5;18.0;35.0;7080.0;29.0;0.0;5.73;-0.31;25.8;17.0
13743;3.9;-10.9;804.0;0.0;18.0;38.0;7120.0;33.7;0.0;5.73;-0.31;37.5;22.0
14553;3.1;-8.6;835.0;-7.0;18.0;44.0;9120.0;37.3;0.0;5.73;-0.31;29.0;18.0
15328;2.3;-10.2;827.0;-8.5;18.0;37.0;7950.0;31.0;0.0;5.73;-0.31;26.0;16.0
16144;3.1;-11.7;811.0;-1.0;18.0;34.0;6510.0;28.6;0.0;5.73;-0.31;24.5;16.0
16951;2.3;-11.7;821.0;-1.5;18.0;33.0;6220.0;28.2;0.0;5.73;-0.31;24.2;16.0
17733;3.1;-12.5;811.0;-0.5;18.0;34.0;6260.0;28.6;0.0;5.73;-0.31;25.3;16.0
18545;2.3;-12.5;808.0;1.0;18.0;34.0;6320.0;29.0;0.0;5.73;-0.31;27.3;16.0
19321;2.3;-11.7;801.0;3.5;18.0;34.0;6450.0;29.4;0.0;5.73;-0.31;27.8;17.0
20102;2.3;-11.7;801.0;4.5;18.0;35.0;6570.0;29.8;0.0;5.73;-0.31;28.5;17.0
20881;2.3;-11.7;802.0;4.5;18.0;35.0;6560.0;30.2;0.0;5.73;-0.31;29.2;17.0
21692;2.3;-10.9;807.0;0.0;18.0;36.0;6880.0;31.0;0.0;5.73;-0.31;29.3;17.0
22473;1.6;-10.9;809.0;0.5;18.0;36.0;6840.0;30.6;0.0;5.73;-0.31;29.2;18.0
23253;1.6;-11.7;822.0;1.5;18.0;35.0;6750.0;30.6;0.0;5.73;-0.31;28.4;18.0
24032;2.3;-10.9;820.0;0.5;18.0;35.0;6670.0;30.2;0.0;5.73;-0.31;29.3;17.0
24842;2.3;-10.9;817.0;2.0;18.0;35.0;6730.0;30.6;0.0;5.73;-0.31;28.6;18.0
25621;2.3;-10.9;823.0;0.5;18.0;35.0;6710.0;30.6;0.0;5.73;-0.31;28.2;17.0
26402;2.3;-10.9;821.0;0.5;18.0;36.0;6710.0;30.6;0.0;5.73;-0.31;29.1;17.0
27182;2.3;-11.7;815.0;0.5;18.0;36.0;6800.0;30.6;0.0;5.73;-0.31;29.2;17.0
27961;2.3;-10.9;814.0;2.0;18.0;36.0;6750.0;30.6;0.0;5.73;-0.31;28.3;17.0
28740;2.3;-11.7;817.0;2.0;18.0;36.0;6710.0;30.6;0.0;5.73;-0.31;28.4;17.0
29553;2.3;-10.9;815.0;2.5;18.0;36.0;6760.0;30.6;0.0;5.73;-0.31;28.4;18.0
30360;2.3;-8.6;873.0;12.5;18.0;47.0;7700.0;45.9;0.0;5.73;-0.38;69.7;35.0
31144;0.0;-1.6;1021.0;3.5;18.0;56.0;10240.0;48.6;0.0;5.73;-0.39;66.9;36.0
31921;-1.6;-0.8;1093.0;5.0;18.0;53.0;13060.0;45.1;0.0;5.73;-0.39;65.0;34.0
32703;-3.1;-1.6;1072.0;14.5;18.0;53.0;13250.0;46.3;0.0;5.73;-0.4;64.4;32.0
33482;-7.0;-1.6;1110.0;-4.5;18.0;39.0;11560.0;31.8;0.0;5.73;-0.4;20.5;18.0
34261;-19.5;-12.5;1106.0;5.0;17.0;26.0;9870.0;17.6;0.0;5.73;-0.37;4.6;13.0
